,sample_name,dose,timepoint,drug,viability
221,K562_n1,d1,48h,Cytarabine,1.15412257935716
222,K562_n1,d2,48h,Cytarabine,1.19425034937113
223,K562_n1,d3,48h,Cytarabine,1.24555799560791
224,K562_n1,d4,48h,Cytarabine,1.17608305050908
225,K562_n1,d5,48h,Cytarabine,1.13206228788181
226,K562_n1,d6,48h,Cytarabine,1.00439209423039
227,K562_n1,d7,48h,Cytarabine,0.981133958874027
228,K562_n1,d8,48h,Cytarabine,0.809642643242164
229,K562_n1,d9,48h,Cytarabine,0.682072269914154
230,K562_n1,d10,48h,Cytarabine,0.667698143341984
231,K562_n2,d1,48h,Cytarabine,1.03762376237624
232,K562_n2,d2,48h,Cytarabine,1.06129184347006
233,K562_n2,d3,48h,Cytarabine,1.08844884488449
234,K562_n2,d4,48h,Cytarabine,1.08477133427628
235,K562_n2,d5,48h,Cytarabine,0.936727958510137
236,K562_n2,d6,48h,Cytarabine,0.949269212635549
237,K562_n2,d7,48h,Cytarabine,0.893729372937294
238,K562_n2,d8,48h,Cytarabine,0.758604431871759
239,K562_n2,d9,48h,Cytarabine,0.652050919377652
240,K562_n2,d10,48h,Cytarabine,0.610938236680811
241,HL60_n1,d1,48h,Cytarabine,1.39638157894737
242,HL60_n1,d2,48h,Cytarabine,1.53453947368421
243,HL60_n1,d3,48h,Cytarabine,1.64309210526316
244,HL60_n1,d4,48h,Cytarabine,1.72039473684211
245,HL60_n1,d5,48h,Cytarabine,1.67269736842105
246,HL60_n1,d6,48h,Cytarabine,1.22039473684211
247,HL60_n1,d7,48h,Cytarabine,0.340460526315789
248,HL60_n1,d8,48h,Cytarabine,0
249,HL60_n1,d9,48h,Cytarabine,0
250,HL60_n1,d10,48h,Cytarabine,0
251,HL60_n2,d1,48h,Cytarabine,1.07164634146341
252,HL60_n2,d2,48h,Cytarabine,1.21798780487805
253,HL60_n2,d3,48h,Cytarabine,1.40091463414634
254,HL60_n2,d4,48h,Cytarabine,1.33689024390244
255,HL60_n2,d5,48h,Cytarabine,1.38871951219512
256,HL60_n2,d6,48h,Cytarabine,0.98780487804878
257,HL60_n2,d7,48h,Cytarabine,0.314024390243902
258,HL60_n2,d8,48h,Cytarabine,0
259,HL60_n2,d9,48h,Cytarabine,0
260,HL60_n2,d10,48h,Cytarabine,0
261,THP1_n2,d1,48h,Cytarabine,1.12542047092744
262,THP1_n2,d2,48h,Cytarabine,1.13839500240269
263,THP1_n2,d3,48h,Cytarabine,1.09995194617972
264,THP1_n2,d4,48h,Cytarabine,1.16914944738107
265,THP1_n2,d5,48h,Cytarabine,1.16890917827967
266,THP1_n2,d6,48h,Cytarabine,1.17347429120615
267,THP1_n2,d7,48h,Cytarabine,1.14296011532917
268,THP1_n2,d8,48h,Cytarabine,1.06271023546372
269,THP1_n2,d9,48h,Cytarabine,0.784478616049976
270,THP1_n2,d10,48h,Cytarabine,0.485103315713599
271,THP1_n1,d1,48h,Cytarabine,1.10860704866938
272,THP1_n1,d2,48h,Cytarabine,1.08391273076001
273,THP1_n1,d3,48h,Cytarabine,1.11148405658116
274,THP1_n1,d4,48h,Cytarabine,1.11076480460321
275,THP1_n1,d5,48h,Cytarabine,1.16159194437785
276,THP1_n1,d6,48h,Cytarabine,1.16494845360825
277,THP1_n1,d7,48h,Cytarabine,1.12251258690961
278,THP1_n1,d8,48h,Cytarabine,0.95109086549988
279,THP1_n1,d9,48h,Cytarabine,0.766962359146488
280,THP1_n1,d10,48h,Cytarabine,0.492447854231599
281,BULK1_n1,d1,48h,Cytarabine,1.19428571428571
282,BULK1_n1,d2,48h,Cytarabine,1.20857142857143
283,BULK1_n1,d3,48h,Cytarabine,1.20857142857143
284,BULK1_n1,d4,48h,Cytarabine,1.22031746031746
285,BULK1_n1,d5,48h,Cytarabine,1.26095238095238
286,BULK1_n1,d6,48h,Cytarabine,1.26666666666667
287,BULK1_n1,d7,48h,Cytarabine,1.08222222222222
288,BULK1_n1,d8,48h,Cytarabine,0.975238095238095
289,BULK1_n1,d9,48h,Cytarabine,0.76984126984127
290,BULK1_n1,d10,48h,Cytarabine,0.533333333333333
291,BULK1_n2,d1,48h,Cytarabine,1.06071645415908
292,BULK1_n2,d2,48h,Cytarabine,1.09046751669702
293,BULK1_n2,d3,48h,Cytarabine,1.08378870673953
294,BULK1_n2,d4,48h,Cytarabine,1.11930783242259
295,BULK1_n2,d5,48h,Cytarabine,1.11536126290225
296,BULK1_n2,d6,48h,Cytarabine,1.12052216150577
297,BULK1_n2,d7,48h,Cytarabine,1.0194292653309
298,BULK1_n2,d8,48h,Cytarabine,0.895871281117183
299,BULK1_n2,d9,48h,Cytarabine,0.665755919854281
300,BULK1_n2,d10,48h,Cytarabine,0.534001214329083
301,BULK2_n1,d1,48h,Cytarabine,1.08352578906851
302,BULK2_n1,d2,48h,Cytarabine,1.12163202463433
303,BULK2_n1,d3,48h,Cytarabine,1.12009237875289
304,BULK2_n1,d4,48h,Cytarabine,1.11855273287144
305,BULK2_n1,d5,48h,Cytarabine,1.14357197844496
306,BULK2_n1,d6,48h,Cytarabine,1.02270977675135
307,BULK2_n1,d7,48h,Cytarabine,0.851809083910701
308,BULK2_n1,d8,48h,Cytarabine,0.683217859892225
